user name,request number,time round ratio,waiting_time,running_time,node_hour,request_cost,request_type,end
s2,0,1.0,0:00:00,0:30:00,0.5,3.0,short,2022-01-05 00:30:00
s2,1,1.0,0:00:00,13:00:00,13.0,85.8,gpu,2022-01-05 13:00:00
s2,2,54.5,"4 days, 11:00:00",2:00:00,184.0,1104.0,huge,2022-01-09 13:00:00
s2,3,3.0,1:00:00,0:30:00,1.0,6.0,short,2022-01-05 01:30:00
s2,4,1.0,0:00:00,3:00:00,18.0,108.0,medium,2022-01-05 03:00:00
s2,5,5.0,2:00:00,0:30:00,1.0,6.0,short,2022-01-05 02:30:00
s2,6,7.0,3:00:00,0:30:00,1.0,6.0,short,2022-01-05 03:30:00
s2,7,1.1,1:00:00,10:00:00,40.0,264.0,gpu,2022-01-05 11:00:00
s2,8,5.0,4:00:00,1:00:00,2.0,12.0,short,2022-01-05 05:00:00
s2,9,1.1818181818181819,2:00:00,11:00:00,33.0,217.79999999999998,gpu,2022-01-05 13:00:00
s3,10,1.3333333333333333,1:00:00,3:00:00,18.0,108.0,medium,2022-01-05 04:00:00
s3,11,11.0,5:00:00,0:30:00,1.0,6.0,short,2022-01-05 05:30:00
s3,12,1.2857142857142858,2:00:00,7:00:00,21.0,126.0,medium,2022-01-05 09:00:00
s3,13,2.4285714285714284,20:00:00,14:00:00,112.0,739.1999999999999,gpu,2022-01-06 10:00:00
s3,14,1.0,0:00:00,11:00:00,264.0,1584.0,large,2022-01-05 11:00:00
s3,15,13.0,6:00:00,0:30:00,1.0,6.0,short,2022-01-05 06:30:00
s3,16,1.0909090909090908,1:00:00,11:00:00,176.0,1056.0,large,2022-01-05 12:00:00
s3,17,15.0,7:00:00,0:30:00,1.0,6.0,short,2022-01-05 07:30:00
s3,18,17.0,8:00:00,0:30:00,1.0,6.0,short,2022-01-05 08:30:00
s3,19,1.4285714285714286,3:00:00,7:00:00,28.0,168.0,medium,2022-01-05 10:00:00
s4,20,1.6666666666666667,4:00:00,6:00:00,60.0,360.0,medium,2022-01-05 10:00:00
s4,21,19.0,9:00:00,0:30:00,1.0,6.0,short,2022-01-05 09:30:00
s4,22,11.0,10:00:00,1:00:00,2.0,12.0,short,2022-01-05 11:00:00
s4,23,23.0,11:00:00,0:30:00,0.5,3.0,short,2022-01-05 11:30:00
s4,24,25.0,12:00:00,0:30:00,1.0,6.0,short,2022-01-05 12:30:00
s4,25,27.0,13:00:00,0:30:00,1.0,6.0,short,2022-01-05 13:30:00
s4,26,12.333333333333334,"1 day, 10:00:00",3:00:00,24.0,158.39999999999998,gpu,2022-01-06 13:00:00
s4,27,1.7142857142857142,5:00:00,7:00:00,42.0,252.0,medium,2022-01-05 12:00:00
s4,28,1.1666666666666667,2:00:00,12:00:00,240.0,1440.0,large,2022-01-05 14:00:00
s4,29,7.166666666666667,"1 day, 13:00:00",6:00:00,42.0,277.2,gpu,2022-01-06 19:00:00
s5,30,29.0,14:00:00,0:30:00,1.0,6.0,short,2022-01-05 14:30:00
s5,31,31.0,15:00:00,0:30:00,1.0,6.0,short,2022-01-05 15:30:00
s5,32,2.2,6:00:00,5:00:00,25.0,150.0,medium,2022-01-05 11:00:00
s5,33,6.4,"2 days, 6:00:00",10:00:00,500.0,3000.0,large,2022-01-07 16:00:00
s5,34,2.4,7:00:00,5:00:00,40.0,240.0,medium,2022-01-05 12:00:00
s5,35,3.0,10:00:00,5:00:00,45.0,270.0,medium,2022-01-05 15:00:00
s5,36,17.0,16:00:00,1:00:00,1.0,6.0,short,2022-01-05 17:00:00
s5,37,18.0,17:00:00,1:00:00,1.0,6.0,short,2022-01-05 18:00:00
s6,38,37.0,18:00:00,0:30:00,1.0,6.0,short,2022-01-05 18:30:00
s7,39,11.75,"1 day, 19:00:00",4:00:00,24.0,158.39999999999998,gpu,2022-01-06 23:00:00
s7,40,20.0,19:00:00,1:00:00,2.0,12.0,short,2022-01-05 20:00:00
s7,41,41.0,20:00:00,0:30:00,0.5,3.0,short,2022-01-05 20:30:00
s7,42,22.0,21:00:00,1:00:00,2.0,12.0,short,2022-01-05 22:00:00
s7,43,23.0,22:00:00,1:00:00,1.0,6.0,short,2022-01-05 23:00:00
s7,44,5.0,"2 days, 8:00:00",14:00:00,98.0,646.8,gpu,2022-01-07 22:00:00
s7,45,2.5,9:00:00,6:00:00,18.0,108.0,medium,2022-01-05 15:00:00
s7,46,24.0,23:00:00,1:00:00,2.0,12.0,short,2022-01-06 00:00:00
s7,47,2.8333333333333335,11:00:00,6:00:00,18.0,118.8,gpu,2022-01-05 17:00:00
s7,48,3.75,11:00:00,4:00:00,24.0,144.0,medium,2022-01-05 15:00:00
s8,49,2.7142857142857144,12:00:00,7:00:00,63.0,378.0,medium,2022-01-05 19:00:00
s8,50,1.8461538461538463,11:00:00,13:00:00,338.0,2028.0,large,2022-01-06 00:00:00
s8,51,49.0,"1 day, 0:00:00",0:30:00,0.5,3.0,short,2022-01-06 00:30:00
s8,52,51.0,"1 day, 1:00:00",0:30:00,1.0,6.0,short,2022-01-06 01:30:00
s8,53,2.857142857142857,13:00:00,7:00:00,28.0,184.79999999999998,gpu,2022-01-05 20:00:00
s8,54,3.1666666666666665,13:00:00,6:00:00,42.0,252.0,medium,2022-01-05 19:00:00
s8,55,4.75,15:00:00,4:00:00,24.0,144.0,medium,2022-01-05 19:00:00
